index,sum,count,cellsize
0,60150397.000000,142742,30.000000
1,69313446.000000,132268,30.000000
2,70336758.000000,125613,30.000000
3,63566582.000000,133874,30.000000
4,58031081.000000,157258,30.000000
5,54373593.000000,172847,30.000000
6,52023660.000000,183852,30.000000
7,52008781.000000,192849,30.000000
8,53522706.000000,200334,30.000000
9,55251178.000000,205782,30.000000
10,56934930.000000,205497,30.000000
11,56779995.000000,201207,30.000000
12,56658142.000000,192415,30.000000
13,53155519.000000,179301,30.000000
14,64995677.000000,167243,30.000000
15,77491945.000000,159508,30.000000
16,77098603.000000,151076,30.000000
17,74599554.000000,154163,30.000000
18,66907095.000000,171411,30.000000
19,61864642.000000,184636,30.000000
20,58082271.000000,195173,30.000000
21,57864652.000000,199742,30.000000
22,58990099.000000,200410,30.000000
23,59837540.000000,197721,30.000000
24,59624022.000000,192751,30.000000
25,59328247.000000,185456,30.000000
26,58472511.000000,178688,30.000000
27,57081069.000000,170072,30.000000
28,53920504.000000,160876,30.000000
29,65108082.000000,151961,30.000000
30,73819759.000000,141665,30.000000
31,74202581.000000,132972,30.000000
32,71924851.000000,147720,30.000000
33,65547145.000000,163145,30.000000
34,61197922.000000,174889,30.000000
35,59642100.000000,184720,30.000000
36,59876625.000000,193890,30.000000
37,61774094.000000,199943,30.000000
38,63655278.000000,201780,30.000000
39,65051771.000000,198533,30.000000
40,64978428.000000,191499,30.000000
41,64040534.000000,180723,30.000000
42,61623480.000000,172357,30.000000
43,54349866.000000,166189,30.000000
44,76918666.000000,159713,30.000000
45,79341605.000000,155494,30.000000
46,72479912.000000,167518,30.000000
47,70302440.000000,174152,30.000000
48,65878521.000000,181131,30.000000
49,63848038.000000,184636,30.000000
50,63580855.000000,184725,30.000000
51,64485830.000000,183567,30.000000
52,65230311.000000,179713,30.000000
53,65713796.000000,176315,30.000000
54,65108938.000000,171587,30.000000
55,64634432.000000,165850,30.000000
56,63418216.000000,161525,30.000000
57,54238909.000000,156311,30.000000
58,57915052.000000,148513,30.000000
59,66911368.000000,138448,30.000000
60,70898947.000000,130118,30.000000
61,70075991.000000,152664,30.000000
62,69036761.000000,163757,30.000000
63,65193365.000000,171145,30.000000
64,64185411.000000,178254,30.000000
65,66251471.000000,182184,30.000000
66,68508489.000000,183333,30.000000
67,70471907.000000,180292,30.000000
68,71357053.000000,178084,30.000000
69,71269490.000000,181285,30.000000
70,69612566.000000,180107,30.000000
71,65850995.000000,174555,30.000000
72,49864258.000000,162099,30.000000
73,72886079.000000,151466,30.000000
74,76026747.000000,162484,30.000000
75,75615567.000000,168365,30.000000
76,70320664.000000,169826,30.000000
77,66824124.000000,170659,30.000000
78,65548154.000000,169828,30.000000
79,66414978.000000,167301,30.000000
80,67387706.000000,164870,30.000000
81,68984725.000000,162669,30.000000
82,69514385.000000,166461,30.000000
83,69330619.000000,168198,30.000000
84,68755700.000000,168393,30.000000
85,64324858.000000,165853,30.000000
86,51734433.000000,157632,30.000000
87,57714306.000000,142958,30.000000
88,62247867.000000,129857,30.000000
89,65643021.000000,126206,30.000000
90,67626451.000000,153600,30.000000
91,70098152.000000,159921,30.000000
92,67994226.000000,164980,30.000000
93,68100669.000000,167957,30.000000
94,71330785.000000,167954,30.000000
95,74202476.000000,168466,30.000000
96,76465734.000000,186543,30.000000
97,77429978.000000,200814,30.000000
98,76341221.000000,205380,30.000000
99,72388263.000000,198571,30.000000
100,55992330.000000,178300,30.000000
101,59121358.000000,151619,30.000000
102,68803571.000000,139926,30.000000
103,70201286.000000,160906,30.000000
104,70719163.000000,162559,30.000000
105,71574740.000000,158592,30.000000
106,68947271.000000,155429,30.000000
107,67651815.000000,153460,30.000000
108,69079718.000000,150414,30.000000
109,71169562.000000,162825,30.000000
110,72418509.000000,171930,30.000000
111,73306742.000000,177980,30.000000
112,73138768.000000,181556,30.000000
113,71618095.000000,181531,30.000000
114,67952028.000000,178145,30.000000
115,55061461.000000,163435,30.000000
116,53285380.000000,140439,30.000000
117,60584966.000000,127055,30.000000
118,64341672.000000,130042,30.000000
119,66065874.000000,156918,30.000000
120,68739830.000000,154279,30.000000
121,72754059.000000,154859,30.000000
122,75333534.000000,154125,30.000000
123,79189111.000000,163305,30.000000
124,81181358.000000,185377,30.000000
125,83018083.000000,206900,30.000000
126,83194230.000000,220706,30.000000
127,81145722.000000,221611,30.000000
128,76892547.000000,211375,30.000000
129,59133433.000000,182688,30.000000
130,57761712.000000,152798,30.000000
131,66555633.000000,135536,30.000000
132,68916336.000000,157316,30.000000
133,71893606.000000,154811,30.000000
134,75078102.000000,147602,30.000000
135,74209232.000000,141201,30.000000
136,73658002.000000,139090,30.000000
137,74955651.000000,156787,30.000000
138,76416452.000000,170310,30.000000
139,77323689.000000,180148,30.000000
140,77774906.000000,187011,30.000000
141,77136381.000000,191682,30.000000
142,75988308.000000,192835,30.000000
143,74088083.000000,191001,30.000000
144,68991484.000000,181987,30.000000
145,53700444.000000,161122,30.000000
